353	69	L3	66
352	64	R5	69
351	61	L97	-36
350	66	R95	161
349	89	R77	166
348	33	L44	-11
347	84	R49	133
346	6	L22	-16
345	43	L37	6
344	78	R65	143
343	82	R96	178
342	61	R616	677
341	32	L71	-39
340	60	L28	32
339	61	R99	160
338	95	R66	161
337	53	R42	95
336	43	R10	53
335	14	L71	-57
334	53	R61	114
333	61	R92	153
332	82	L21	61
331	76	R6	82
330	61	L85	-24
329	36	R25	61
328	61	R75	136
327	99	R62	161
326	61	L62	-1
325	94	L233	-139
324	61	L67	-6
323	74	L13	61
322	33	R41	74
321	61	R72	133
320	16	L55	-39
319	32	R84	116
318	44	L112	-68
317	61	R83	144
316	31	L870	-839
315	32	R99	131
314	35	R592	627
313	56	L21	35
312	35	R21	56
311	47	L12	35
310	52	R491	543
309	33	L81	-48
308	38	L5	33
307	92	R343	435
306	49	L57	-8
305	25	L676	-651
304	75	R50	125
303	49	R26	75
302	50	L901	-851
301	90	L40	50
300	1	L111	-110
299	12	L11	1
298	49	L37	12
297	71	R78	149
296	49	L78	-29
295	1	L52	-51
294	12	R89	101
293	49	R63	112
292	42	L93	-51
291	26	L84	-58
290	49	L23	26
289	94	L445	-351
288	46	L52	-6
287	82	R64	146
286	96	L14	82
285	49	R47	96
284	78	L29	49
283	83	R95	178
282	79	L96	-17
281	70	L91	-21
280	10	R60	70
279	83	R27	110
278	3	L20	-17
277	49	R54	103
276	35	R312	347
275	83	R52	135
274	18	L35	-17
273	47	L29	18
272	64	R83	147
271	47	R17	64
270	55	R92	147
269	26	R29	55
268	24	L98	-74
267	98	L74	24
266	51	R47	98
265	75	L24	51
264	20	R55	75
263	47	L727	-680
262	74	L27	47
261	5	L31	-26
260	47	R58	105
259	29	L82	-53
258	44	L15	29
257	85	R59	144
256	36	L51	-15
255	60	L24	36
254	15	R45	60
253	65	L50	15
252	47	L82	-35
251	39	R8	47
250	47	R92	139
249	56	L909	-853
248	47	L91	-44
247	32	L85	-53
246	42	R585	627
245	31	R11	42
244	45	R86	131
243	65	R80	145
242	58	L93	-35
241	72	L14	58
240	72	R397	469
239	28	L56	-28
238	23	L95	-72
237	69	L246	-177
236	50	R19	69
235	2	R48	50
234	73	L71	2
233	25	L552	-527
232	85	R139	224
231	93	L8	85
230	56	R37	93
229	50	R6	56
228	23	R27	50
227	26	R97	123
226	38	R88	126
225	17	L79	-62
224	38	R79	117
223	68	L30	38
222	47	L79	-32
221	38	L191	-153
220	85	L47	38
219	20	L35	-15
218	76	R44	120
217	96	R80	176
216	37	R59	96
215	87	L50	37
214	46	L659	-613
213	99	R47	146
212	38	R61	99
211	21	R17	38
210	38	L917	-879
209	49	L11	38
208	11	R38	49
207	24	L13	11
206	19	L95	-76
205	57	L38	19
204	38	L81	-43
203	28	L390	-362
202	15	L887	-872
201	21	R94	115
200	38	L17	21
199	93	R45	138
198	60	R33	93
197	32	R28	60
196	96	L64	32
195	80	L84	-4
194	75	L95	-20
193	82	L7	75
192	65	L83	-18
191	38	L73	-35
190	87	L49	38
189	21	R66	87
188	27	R94	121
187	38	L11	27
186	98	L60	38
185	38	R60	98
184	81	L43	38
183	39	L58	-19
182	61	L22	39
181	55	R6	61
180	74	R675	749
179	9	R462	471
178	13	L4	9
177	29	L516	-487
176	57	L428	-371
175	29	R28	57
174	99	L70	29
173	59	L60	-1
172	29	R30	59
171	94	R35	129
170	29	L335	-306
169	51	L22	29
168	16	L265	-249
167	29	L13	16
166	73	R56	129
165	29	L56	-27
164	20	R9	29
163	24	L4	20
162	7	R117	124
161	15	L8	7
160	83	R32	115
159	29	R54	83
158	56	R73	129
157	42	L86	-44
156	29	L187	-158
155	39	L10	29
154	70	L31	39
153	13	R57	70
152	25	R88	113
151	35	L10	25
150	29	L94	-65
149	84	R45	129
148	1	R83	84
147	81	L80	1
146	29	L448	-419
145	86	R43	129
144	29	R57	86
143	31	L2	29
142	78	L447	-369
141	29	L51	-22
140	13	L84	-71
139	90	R914	1004
138	80	R10	90
137	32	L152	-120
136	50	L18	32
135	90	L40	50
134	13	R870	883
133	97	R16	113
132	12	R185	197
131	67	L55	12
130	30	R37	67
129	16	R14	30
128	11	R5	16
127	97	R14	111
126	7	L510	-503
125	13	R94	107
124	18	R293	311
123	76	L758	-682
122	6	L30	-24
121	13	L7	6
120	11	L98	-87
119	81	L70	11
118	39	R42	81
117	62	R77	139
116	63	L1	62
115	11	L48	-37
114	54	R948	1002
113	2	L48	-46
112	37	R65	102
111	88	R49	137
110	2	R86	88
109	77	R25	102
108	78	L1	77
107	82	L4	78
106	2	L20	-18
105	12	R288	300
104	79	R33	112
103	0	L121	-121
102	92	L92	0
101	86	R6	92
100	28	R58	86
99	78	L50	28
98	46	R32	78
97	78	R68	146
96	18	R60	78
95	82	L64	18
94	6	L24	-18
93	0	L94	-94
92	5	R95	100
91	0	L95	-95
90	48	R52	100
89	2	L54	-52
88	3	L1	2
87	0	L97	-97
86	43	L43	0
85	0	L57	-57
84	80	R20	100
83	50	R30	80
82	0	R50	50
81	24	R76	100
80	0	R24	24
79	84	R16	100
78	77	L93	-16
77	23	L46	-23
76	81	R42	123
75	66	R15	81
74	77	R89	166
73	91	L14	77
72	0	R91	91
71	62	L62	0
70	0	L38	-38
69	17	L17	0
68	50	R67	117
67	0	R50	50
66	93	L93	0
65	0	L7	-7
64	19	L19	0
63	35	L16	19
62	47	R88	135
61	43	L96	-53
60	82	R61	143
59	0	L18	-18
58	97	L97	0
57	74	R23	97
56	0	L26	-26
55	66	R34	100
54	81	L15	66
53	74	R7	81
52	68	L94	-26
51	0	R68	68
50	42	L42	0
49	24	R18	42
48	13	R11	24
47	18	L5	13
46	88	R30	118
45	85	R3	88
44	30	L45	-15
43	39	L9	30
42	41	L2	39
41	28	R13	41
40	94	R34	128
39	52	R42	94
38	58	L6	52
37	16	R42	58
36	58	L42	16
35	73	L15	58
34	88	L15	73
33	66	R22	88
32	8	L42	-34
31	30	L22	8
30	21	R9	30
29	87	R34	121
28	4	L17	-13
27	58	R46	104
26	90	L32	58
25	49	R41	90
24	65	L16	49
23	31	R34	65
22	61	L30	31
21	60	R1	61
20	6	L46	-40
19	87	R19	106
18	40	R47	87
17	38	R2	40
16	9	R29	38
15	51	L42	9
14	75	L24	51
13	46	R29	75
12	97	R49	146
11	23	L26	-3
10	86	R37	123
9	59	R27	86
8	66	L7	59
7	39	R27	66
6	48	L9	39
5	88	L40	48
4	41	R47	88
3	3	R38	41
2	18	L15	3
1	50	L32	18
